LED_Index,LED_Address,Latitude,Longitude
0,D001,-23.194944,-44.60778
1,D002,-23.105548999999996,-48.378727
2,D003,4.596427999999996,-74.195282
3,D004,4.596427999999996,-74.195274
4,D005,18.39558199999999,-66.08086399999999
5,D006,18.395582,-66.080864
6,D007,20.855125,-156.314865
7,D008,33.06837800000001,-96.703217
8,D009,33.404495,-111.596771
9,D010,39.719879,-74.128555
10,D011,39.795395,-75.672981
11,D012,40.64159,-74.339462
12,D013,41.325840000000014,-74.921951
13,D014,41.577347,-73.473305
14,D015,41.663223,-70.115341
15,D016,43.785923,-79.366585
16,D017,43.977051,-69.255951
17,D018,43.977055,-69.255951
18,D019,44.50586700000001,-78.611008
19,D020,45.569309,-73.69783
20,D021,45.569313,-73.69783
21,D022,45.612591,-72.948494
22,D023,1013.389460698448,1672.854409181367
