LED_Index,LED_Address,Latitude,Longitude
0,H001,-31.755649999999996,115.992142
1,H002,-26.78914799999999,153.136734
2,H003,-21.358702,55.66334199999999
3,H004,-21.025872999999997,55.515308
4,H005,-21.025872999999997,55.51531200000001
5,H006,-21.025871000000002,55.515312
6,H007,-20.878140999999992,55.428082
7,H008,-20.878138999999997,55.428082
8,H009,19.778889,96.137688
9,H010,24.524378,54.435333
10,H011,41.34837,70.733612
11,H012,42.817863,141.625336
12,H013,43.042953000000004,76.94435100000001
13,H014,43.255062,76.856674
14,H015,43.314449,76.526947
15,H016,43.314449,76.52695499999999
16,H017,44.332241,79.789177
17,H018,45.284779,79.35805499999998
18,H019,48.89729,68.185311
19,H020,49.004645,68.774212
20,H021,49.205392,68.890366
21,H022,49.314536,67.378374
22,H023,49.386616,68.742942
23,H024,49.395829,67.428452
24,H025,49.570317,66.017054
25,H026,49.576114,66.164925
26,H027,50.602599,67.152522
27,H028,50.671753,67.871926
28,H029,50.899063,67.370874
29,H030,51.257769,68.059926
30,H031,51.336472,63.601801
31,H032,51.357534,63.631356
32,H033,51.662343,63.426738
33,H034,51.675253,63.420676
34,H035,51.81081,65.774836
35,H036,51.832108,66.05943
36,H037,51.849269,66.003305
37,H038,51.851601,63.063363
38,H039,51.858986,65.892103
39,H040,51.859138,65.864317
40,H041,52.173908,63.674103
41,H042,52.174256,63.652115
42,H043,52.338658,63.704799
43,H044,52.372387,63.363432
44,H045,52.586595,63.566728
45,H046,52.619533,61.663666
46,H047,52.773056,66.37702
47,H048,52.783565,66.409199
48,H049,52.827478,66.306256
49,H050,52.835829,66.535077
50,H051,53.093617,66.490201
51,H052,53.103272,66.903376
52,H053,53.191394,61.565821
53,H054,53.215487,61.453319
54,H055,53.269545,90.062131
55,H056,53.478383,60.540139
56,H057,53.482056,60.526735
57,H058,53.861208,57.028047
58,H059,53.877596,63.430701
59,H060,53.931281,63.651264
60,H061,54.068315,57.148551
61,H062,54.090365,56.796912
62,H063,54.117464,57.678553
63,H064,54.622878,60.147363
64,H065,54.731003,56.554676
65,H066,55.074093,59.841615
66,H067,55.208618,56.763397
67,H068,55.261944,59.660242
68,H069,55.334196,58.452844
69,H070,55.431015,62.481783
70,H071,55.443222,62.819746
71,H072,55.682804,58.569684
72,H073,55.698384,57.505528
73,H074,55.750607,58.764326
74,H075,55.764993,59.14677
75,H076,55.798944,61.080199
76,H077,55.817274,58.322795
77,H078,55.846421,58.796863
78,H079,55.852047,57.177881
79,H080,55.887341,58.099125
80,H081,55.896111,57.093947
81,H082,55.987968,58.395305
82,H083,56.041253,58.355676
83,H084,56.103109,58.611373
84,H085,56.267124,57.936996
85,H086,56.581537,57.002666
86,H087,56.772873,60.96779599999996
87,H088,56.772873,60.967796
88,H089,60.989292000000006,69.042824
