LED_Index,LED_Address,Latitude,Longitude
0,K001,6.715445000000045,-1.482747625
1,K002,28.653772000000007,-17.885196999999998
2,K003,32.663822,-16.892544
3,K004,36.84707600000002,-4.003812999999997
4,K005,37.96133206060607,-8.870080090909088
5,K006,38.34692,-0.47927699999999973
6,K007,38.64623866666667,-9.025762
7,K008,38.694443,-9.309146
8,K009,39.22623800000001,-8.997247000000002
9,K010,39.31718774311928,3.1347221880733884
10,K011,39.546547,-0.45622625000000006
11,K012,39.589157,-8.361375
12,K013,40.23128038461539,-2.089743769230769
13,K014,40.336444647058826,-3.753360941176471
14,K015,40.5943105,-1.907546
15,K016,40.72274,-8.11493511111111
16,K017,41.114014555555556,1.2452470000000004
17,K018,41.508312,2.091495378378375
18,K019,41.54537999999999,-4.703409000000004
19,K020,41.557156,2.0312963225806446
20,K021,41.56674600000002,2.0049451428571454
21,K022,42.373436,1.8856950000000032
22,K023,42.520603,-7.506012
23,K024,42.679848,2.793270999999995
24,K025,42.771927000000005,2.998964941176473
25,K026,43.002250999999994,-4.135465000000002
26,K027,43.057377,0.9883038695652169
27,K028,43.112701,-7.4605089537572375
28,K029,43.34315099999999,1.1495059999999997
29,K030,43.350037119999996,-2.8588229999999997
30,K031,43.411186,1.7121699999999995
31,K032,43.441503757894736,-3.8810713578947382
32,K033,43.504452,3.3164447142857143
33,K034,43.518284000000016,2.4074329478260923
34,K035,43.788879,-0.711952
35,K036,44.01975999999999,1.3704869999999993
36,K037,44.146606,0.41453499999999943
37,K038,44.79364399999999,0.4759619350649371
38,K039,45.3969,2.565971266666667
39,K040,45.676514,2.7421580000000003
40,K041,45.76188699999996,-0.1582248615384727
41,K042,45.937538,1.049824333333333
42,K043,45.942729317073166,-0.9799397073170732
43,K044,45.95718637419355,0.2528042580645158
44,K045,46.151772,1.9107079999999992
45,K046,46.460991,-1.15807195
46,K047,46.780979,1.802111903225807
47,K048,47.24584781132076,1.2713498867924513
48,K049,47.388046800000005,0.7754269999999996
49,K050,47.39617500000001,2.8862267049180352
50,K051,47.8165642247191,1.0496701573033684
51,K052,48.014893,-2.4757666315789475
52,K053,48.022877,-3.450061318181818
53,K054,48.13330800000001,-1.54364402814815
54,K055,48.450912,1.9610162499999997
55,K056,48.45811799999999,-5.095739999999997
56,K057,48.47374,1.014972000000002
57,K058,48.686127,1.632989999999995
58,K059,48.70463054545454,2.153246181818182
59,K060,48.729763,1.3706880000000061
60,K061,48.803886,2.104580546666671
61,K062,48.834140999999995,2.1212560000000003
62,K063,48.990957264150936,1.7192280566037854
63,K064,49.106998,3.352598326530606
64,K065,49.355667,2.393027111842101
65,K066,50.145969,-5.621439134020628
66,K067,50.302059,3.0652210000000326
67,K068,50.408169123076924,-4.1726680000000025
68,K069,50.69809,-3.2907139999999977
69,K070,50.705051,3.0906849999999966
70,K071,50.733887,1.6225600000000018
71,K072,50.73955200000001,-2.7535590000000085
72,K073,50.86448300000001,-1.4036910000000005
73,K074,50.8773852631579,-2.949750105263158
74,K075,50.884155,-3.3737428913043463
75,K076,50.915957999999996,-1.3039126011235957
76,K077,50.92971399999999,-0.13350100000001186
77,K078,50.968035666666665,2.440484
78,K079,51.011620000000015,-1.6392489999999973
79,K080,51.08329399999998,1.1812500000000257
80,K081,51.099895,-0.865529
81,K082,51.249138,-0.7744089999999999
82,K083,51.309315,-0.7060273686440667
83,K084,51.362724,-2.8005569999999995
84,K085,51.37120099999999,1.3011830000000146
85,K086,51.395275,-0.26062031818181763
86,K087,51.40791208536585,-1.2768101951219513
87,K088,51.469337,-2.5738863333333333
88,K089,51.52751905194805,-0.3849737662337672
89,K090,51.595608000000006,-2.968198147058822
90,K091,51.64788800000002,-0.04565326161790306
91,K092,51.68376200000001,-4.1227070000000055
92,K093,51.700839357142854,-0.9084220535714285
93,K094,51.760161999999994,-1.1995050875000004
94,K095,51.82574948275862,-3.0988963965517233
95,K096,51.897247,-9.539635000000008
96,K097,51.913029,-1.1549639999999997
97,K098,51.988476000000034,-2.393043000000011
98,K099,52.057952999999976,1.2684570000000144
99,K100,52.144484850000005,0.5545852999999998
100,K101,52.170109,-1.0120729999999991
101,K102,52.179676,-9.774063
102,K103,52.183044,-6.383033000000001
103,K104,52.46191849137931,-2.1675742500000013
104,K105,52.51027700000001,-1.173944
105,K106,52.560516,-0.24376099999999967
106,K107,52.56334865656565,-1.359158585858586
107,K108,52.621418000000006,-0.2816470000000033
108,K109,52.680813,-7.791699605263162
109,K110,53.0687636,-2.042223375
110,K111,53.27475396763754,-9.089184016181193
111,K112,53.302281744680855,-3.74315629787234
112,K113,53.377781,-6.612242374999999
113,K114,53.39789532812499,-2.6706281406249985
114,K115,54.215664000000004,-2.893116595744681
115,K116,54.397945,-0.7217250000000007
116,K117,54.50539,-1.3310037307692308
117,K118,54.61129973214286,-5.860078035714288
118,K119,54.61775999999999,-1.0842471790540538
119,K120,54.63415954135339,-5.672026999999993
120,K121,54.783264,-2.4218389999999994
121,K122,54.99459800000004,-1.7875940000000015
122,K123,55.90539199999997,-5.2351599999999845
123,K124,55.950802,-3.1099212777777776
124,K125,56.38955194117643,-3.2655994745098136
125,K126,56.45760000000001,-2.980719416666667
126,K127,58.923401,-3.2137764615384614
127,K128,64.115356,-21.884706000000005
