Model Node,Model LED_Index,LED_Address,Pin,Latitude,Longitude
A,0,A001,P8_7,-24.85074143117027,-172.9004242346877
A,1,A002,P8_8,12.111692819180213,-108.25939380442243
A,2,A003,P8_9,13.48658385514284,-92.37478265959017
A,3,A004,P8_10,14.700616099105286,-98.33837505418312
A,4,A005,P8_11,18.260022013422972,-102.02663491462731
A,5,A006,P8_12,18.689724498552042,-94.45369175340629
A,6,A007,P8_13,19.384391788129854,-90.03617234983285
A,7,A008,P8_14,22.541596049559743,-105.84522323385502
A,8,A009,P8_15,22.685039624066313,-98.25255197207129
A,9,A010,P8_16,24.68239103784314,-94.02161377887103
A,10,A011,P8_17,25.147605364393762,-89.11597428454087
A,11,A012,P8_18,27.321730438381095,-91.6474312677192
A,12,A013,P8_19,27.83233619818135,-100.34383744260359
A,13,A014,P8_26,28.341696526058325,-108.71573545604198
A,14,A015,P8_27,28.427940623560602,-96.4472383406503
A,15,A016,P8_28,28.614722570647373,-88.40294466027098
A,16,A017,P8_29,29.576584001424425,-93.93491743797212
A,17,A018,P8_30,30.207106023802435,-91.05387968125902
A,18,A019,P8_31,31.02088337261022,-148.04024757101055
A,19,A020,P8_32,31.577933764617853,-88.05449922760502
A,20,A021,P8_33,31.727788935302332,-95.59802156419256
A,21,A022,P8_34,32.05717039071406,-98.96617980472718
A,22,A023,P8_35,33.00953530279766,-110.64565021766157
A,23,A024,P8_36,33.304046674892895,-103.13283686729945
A,24,A025,P8_37,33.388856201415486,-92.21330763702728
A,25,A026,P8_38,34.83967510417157,-96.62124399945601
A,26,A027,P8_39,35.07219340266999,-88.22396421349148
A,27,A028,P8_40,35.78576253810324,-99.91600069596261
A,28,A029,P8_41,36.566314875710546,-93.85754515977862
A,29,A030,P8_42,37.246065589975885,-104.84738433542842
A,30,A031,P8_43,37.569517512169504,-90.68144051370999
A,31,A032,P8_44,38.10876380988954,-87.24465331874616
A,32,A033,P8_45,38.2463346929661,-96.86048903206267
A,33,A034,P8_46,38.26562409812742,-110.48334813347715
A,34,A035,P9_12,39.535478068285585,-100.63797547772386
A,35,A036,P9_13,40.201366461620914,-93.86648617645868
A,36,A037,P9_14,40.86621932409779,-121.89988867529688
A,37,A038,P9_15,41.87183254256688,-90.50058285678517
A,38,A039,P9_16,42.10682141519203,-86.88284461991131
A,39,A040,P9_17,42.18822503251178,-97.38529394797008
A,40,A041,P9_18,43.28385134724493,-102.57884918451374
A,41,A042,P9_19,44.624353725237484,-111.92015670997378
A,42,A043,P9_20,45.39436444678036,-94.1989278399167
A,43,A044,P9_21,46.341946213864546,-88.52415073051107
A,44,A045,P9_22,47.78758060682721,-99.47005031091166
A,45,A046,P9_23,47.85075535233671,-105.35489073319471
A,46,A047,P9_24,52.8570066565606,-95.44149175510888
A,47,A048,P9_25,53.11286518086591,-86.85039801127178
A,48,A049,P9_26,53.87089537927825,-115.51415246036886
A,49,A050,P9_27,54.095081845726924,-105.03775138948343
B,0,B001,P8_7,9.714179156475339,5.135153004759163
B,1,B002,P8_8,12.188657968188963,-7.900652473664605
B,2,B003,P8_9,32.09766123690782,-20.543760851724564
B,3,B004,P8_10,33.33608630359017,2.4466476162009414
B,4,B005,P8_11,34.056446480779336,-8.12574509489401
B,5,B006,P8_12,34.98576829433577,15.736404290016702
B,6,B007,P8_13,35.362018637425614,33.689649431912514
B,7,B008,P8_14,36.49462606326958,11.111061540125235
B,8,B009,P8_15,36.52372205398174,44.62099687413441
B,9,B010,P8_16,36.73691372847509,21.35362728380527
B,10,B011,P8_17,37.154028288198404,27.453413053611214
B,11,B012,P8_18,38.04065796533018,5.890538305998653
B,12,B013,P8_19,39.04544163858802,-2.4713677701963004
B,13,B014,P8_26,39.93817011742346,14.643296107568636
B,14,B015,P8_27,40.61396698207778,19.219501017870964
B,15,B016,P8_28,40.70816780552119,1.9302112691541993
B,16,B017,P8_29,41.54268965109075,10.77919326127521
B,17,B018,P8_30,41.64121510143934,-23.944954679635536
B,18,B019,P8_31,41.75257194169972,24.94469876564338
B,19,B020,P8_32,41.85370337512934,-9.452890714923361
B,20,B021,P8_33,42.109722864582544,6.58640497537915
B,21,B022,P8_34,42.79099986767814,38.63826788792156
B,22,B023,P8_35,43.34888454228412,31.74226815634239
B,23,B024,P8_36,43.98355449230639,17.689233130786523
B,24,B025,P8_37,44.294722979019284,-1.1958318079796069
B,25,B026,P8_38,44.85426289510262,13.279784576805651
B,26,B027,P8_39,45.05044722937116,21.729263957411323
B,27,B028,P8_40,45.13892364528997,9.308408673725925
B,28,B029,P8_41,45.18916482211369,3.627245669169911
B,29,B030,P8_42,46.96271385188755,27.787410989763885
B,30,B031,P8_43,47.61188698104878,15.714983157080972
B,31,B032,P8_44,47.88191242391152,6.452326486337915
B,32,B033,P8_45,48.36425433944856,11.31466171227618
B,33,B034,P8_46,48.838619481938665,1.917933335326918
B,34,B035,P9_12,48.87577453732278,19.37581883707182
B,35,B036,P9_13,49.61456995561505,23.408424651910252
B,36,B037,P9_14,50.66828967783049,41.30150338821528
B,37,B038,P9_15,51.809503603964586,5.602010850812405
B,38,B039,P9_16,51.87362702268241,33.558294575072104
B,39,B040,P9_17,52.359247838952164,15.05420022890875
B,40,B041,P9_18,52.47863632706745,9.947569059624563
B,41,B042,P9_19,53.0633654987822,-2.919491877314604
B,42,B043,P9_20,53.71146633724624,20.338256675307193
B,43,B044,P9_21,53.94189305012204,26.84024453212622
B,44,B045,P9_22,55.72474391143829,55.02786210885245
B,45,B046,P9_23,57.72432232547517,7.139725316585181
B,46,B047,P9_24,58.3294491024869,40.82354463443513
B,47,B048,P9_25,58.502461280729314,31.9316723593909
B,48,B049,P9_26,59.12415309037295,13.589980866990457
B,49,B050,P9_27,61.68438522504614,24.400231461920967
C,0,C001,P8_7,-47.22331871136619,157.10206699832028
C,1,C002,P8_8,-45.159932437027706,150.68107395012595
C,2,C003,P8_9,-43.90914566895346,166.32968108394658
C,3,C004,P8_10,-41.032945548295004,134.5201932743854
C,4,C005,P8_11,-40.394994188713746,155.66269564533303
C,5,C006,P8_12,-39.42958288788539,118.90798167440047
C,6,C007,P8_13,-38.922376984910755,143.05157994022088
C,7,C008,P8_14,-38.72978221227211,159.63837344644512
C,8,C009,P8_15,-38.60108362174728,151.36280344230101
C,9,C010,P8_16,-37.390897748681006,164.73838553094254
C,10,C011,P8_17,-36.66353220976832,172.08537550344397
C,11,C012,P8_18,-35.60763408957238,155.29905871987052
C,12,C013,P8_19,-35.09741617317366,146.5165911344887
C,13,C014,P8_26,-34.823078697014,126.51753393526832
C,14,C015,P8_27,-33.513976846262516,151.55422182991498
C,15,C016,P8_28,-33.33101005958453,159.69029393127255
C,16,C017,P8_29,-32.73167031953688,138.58167129039654
C,17,C018,P8_30,-32.28071736395161,143.00874037872495
C,18,C019,P8_31,-31.039588206591276,155.39931325161274
C,19,C020,P8_32,-31.0194903320471,147.4254731738959
C,20,C021,P8_33,-30.87172561174959,164.9177976205202
C,21,C022,P8_34,-29.881292203400175,121.57273713740193
C,22,C023,P8_35,-29.533644414900646,132.98886883600142
C,23,C024,P8_36,-27.772483262443796,151.78527268352133
C,24,C025,P8_37,-27.25368500653706,128.46328129138243
C,25,C026,P8_38,-26.854045121727903,157.93812156227256
C,26,C027,P8_39,-26.6855111495557,138.90328420322305
C,27,C028,P8_40,-26.57724909599869,144.6177090197813
C,28,C029,P8_41,-25.019213038249767,148.8675505337412
