LED_Index,Pin,Latitude,Longitude
0,P8_7,-24.85074143117027,-172.9004242346877
1,P8_8,12.111692819180213,-108.25939380442243
2,P8_9,13.48658385514284,-92.37478265959017
3,P8_10,14.700616099105286,-98.33837505418312
4,P8_11,18.260022013422972,-102.02663491462731
5,P8_12,18.689724498552042,-94.45369175340629
6,P8_13,19.384391788129854,-90.03617234983285
7,P8_14,22.541596049559743,-105.84522323385502
8,P8_15,22.685039624066313,-98.25255197207129
9,P8_16,24.68239103784314,-94.02161377887103
10,P8_17,25.147605364393762,-89.11597428454087
11,P8_18,27.321730438381095,-91.6474312677192
12,P8_19,27.83233619818135,-100.34383744260359
13,P8_26,28.341696526058325,-108.71573545604198
14,P8_27,28.427940623560602,-96.4472383406503
15,P8_28,28.614722570647373,-88.40294466027098
16,P8_29,29.576584001424425,-93.93491743797212
17,P8_30,30.207106023802435,-91.05387968125902
18,P8_31,31.02088337261022,-148.04024757101055
19,P8_32,31.577933764617853,-88.05449922760502
20,P8_33,31.727788935302332,-95.59802156419256
21,P8_34,32.05717039071406,-98.96617980472718
22,P8_35,33.00953530279766,-110.64565021766157
23,P8_36,33.304046674892895,-103.13283686729945
24,P8_37,33.388856201415486,-92.21330763702728
25,P8_38,34.83967510417157,-96.62124399945601
26,P8_39,35.07219340266999,-88.22396421349148
27,P8_40,35.78576253810324,-99.91600069596261
28,P8_41,36.566314875710546,-93.85754515977862
29,P8_42,37.246065589975885,-104.84738433542842
30,P8_43,37.569517512169504,-90.68144051370999
31,P8_44,38.10876380988954,-87.24465331874616
32,P8_45,38.2463346929661,-96.86048903206267
33,P8_46,38.26562409812742,-110.48334813347715
34,P9_12,39.535478068285585,-100.63797547772386
35,P9_13,40.201366461620914,-93.86648617645868
36,P9_14,40.86621932409779,-121.89988867529688
37,P9_15,41.87183254256688,-90.50058285678517
38,P9_16,42.10682141519203,-86.88284461991131
39,P9_17,42.18822503251178,-97.38529394797008
40,P9_18,43.28385134724493,-102.57884918451374
41,P9_19,44.624353725237484,-111.92015670997378
42,P9_20,45.39436444678036,-94.1989278399167
43,P9_21,46.341946213864546,-88.52415073051107
44,P9_22,47.78758060682721,-99.47005031091166
45,P9_23,47.85075535233671,-105.35489073319471
46,P9_24,52.8570066565606,-95.44149175510888
47,P9_25,53.11286518086591,-86.85039801127178
48,P9_26,53.87089537927825,-115.51415246036886
49,P9_27,54.095081845726924,-105.03775138948343
