LED_Index,Pin,Latitude,Longitude
0,P8_7,-47.22331871136619,157.10206699832028
1,P8_8,-45.159932437027706,150.68107395012595
2,P8_9,-43.90914566895346,166.32968108394658
3,P8_10,-41.032945548295004,134.5201932743854
4,P8_11,-40.394994188713746,155.66269564533303
5,P8_12,-39.42958288788539,118.90798167440047
6,P8_13,-38.922376984910755,143.05157994022088
7,P8_14,-38.72978221227211,159.63837344644512
8,P8_15,-38.60108362174728,151.36280344230101
9,P8_16,-37.390897748681006,164.73838553094254
10,P8_17,-36.66353220976832,172.08537550344397
11,P8_18,-35.60763408957238,155.29905871987052
12,P8_19,-35.09741617317366,146.5165911344887
13,P8_26,-34.823078697014,126.51753393526832
14,P8_27,-33.513976846262516,151.55422182991498
15,P8_28,-33.33101005958453,159.69029393127255
16,P8_29,-32.73167031953688,138.58167129039654
17,P8_30,-32.28071736395161,143.00874037872495
18,P8_31,-31.039588206591276,155.39931325161274
19,P8_32,-31.0194903320471,147.4254731738959
20,P8_33,-30.87172561174959,164.9177976205202
21,P8_34,-29.881292203400175,121.57273713740193
22,P8_35,-29.533644414900646,132.98886883600142
23,P8_36,-27.772483262443796,151.78527268352133
24,P8_37,-27.25368500653706,128.46328129138243
25,P8_38,-26.854045121727903,157.93812156227256
26,P8_39,-26.6855111495557,138.90328420322305
27,P8_40,-26.57724909599869,144.6177090197813
28,P8_41,-25.019213038249767,148.8675505337412
29,P8_42,-24.80360626355047,171.91732727382728
30,P8_43,-24.606748312752973,164.53531669262367
31,P8_44,-23.815713522302104,133.49875897255995
32,P8_45,-23.410380801021688,128.27069080638014
33,P8_46,-22.792696681191423,122.84255928475396
34,P9_12,-20.293999894662917,138.99892746926443
35,P9_13,-19.35282731583623,130.9007302992813
36,P9_14,-19.278257912934027,145.99536370022952
37,P9_15,-17.84701182400663,125.86502956299668
38,P9_16,-16.659880464758643,168.72713440249893
39,P9_17,-16.05567037823489,140.58199128621987
40,P9_18,-15.02093177457112,135.10202523135447
41,P9_19,-14.807559552610183,159.6955430748089
42,P9_20,-14.78705304700011,130.0478969832409
43,P9_21,-13.680384628694245,117.10103931219776
44,P9_22,-8.762375035039174,167.39392275633935
45,P9_23,-6.828819048400607,152.50692617919947
46,P9_24,-6.733702723066319,110.46201613577351
47,P9_25,-6.118745156498413,142.17600575395076
48,P9_26,-4.406986240471387,120.8147170971665
49,P9_27,-2.7078711741181323,133.5427221022837
