LED_Index,Pin,Latitude,Longitude
0,P8_7,-2.4443321811223093,-69.94223773607138
1,P8_8,6.282492059066687,-68.6310975766747
2,P8_9,7.934269280198794,-77.116813867853
3,P8_10,9.17799969776462,-83.31186204906896
4,P8_11,11.651872920481924,-73.3844972719798
5,P8_12,13.022289080115268,-79.7441903042092
6,P8_13,15.288794684079843,-86.20479476504336
7,P8_14,15.865083288657008,-62.17502371526348
8,P8_15,18.423002238408195,-75.29573727414811
9,P8_16,19.069880382322374,-80.63573244771146
10,P8_17,20.08757617159986,-70.39073280369635
11,P8_18,20.36004406745927,-85.80990312474097
12,P8_19,22.365273259453758,-76.93917356962959
13,P8_26,22.905524585057048,-82.29472268590811
14,P8_27,24.064258254210763,-63.33972509872349
15,P8_28,25.114578121192412,-85.16903250858863
16,P8_29,25.185614776982128,-53.94725163812932
17,P8_30,26.3339114734233,-81.0921163630909
18,P8_31,26.475581183545913,-36.665983940037684
19,P8_32,26.576026753058912,-77.57346764759636
20,P8_33,27.578782141510914,-71.83224640481822
21,P8_34,28.414712593838097,-85.50477659058603
22,P8_35,28.99516986835997,-82.3086227775362
23,P8_36,29.338677941206342,-75.24548031198943
24,P8_37,29.364970355554693,-78.9034963819626
25,P8_38,30.101694700040813,-46.019019876801266
26,P8_39,30.930843600986645,-67.54009347247174
27,P8_40,31.401832920277158,-84.85698635315013
28,P8_41,32.1098799897073,-77.83517152900988
29,P8_42,32.595574169315626,-81.31750043106031
30,P8_43,32.61907255383346,-61.690041817168456
31,P8_44,33.24617821774863,-71.54906962020604
32,P8_45,33.34660097223781,-75.22051934393549
33,P8_46,35.63082352510385,-78.24908945994429
34,P9_12,35.786261877719824,-84.17210769124753
35,P9_13,35.8602018214574,-73.62433393148828
36,P9_14,36.61032233138174,-67.40330845999473
37,P9_15,37.4018259248742,-52.962035765032596
38,P9_16,37.6123497695609,-70.6765311378571
39,P9_17,38.95620159194442,-83.42207658082863
40,P9_18,39.37243485243941,-63.61890330983796
41,P9_19,39.77126394814294,-40.254695472871035
42,P9_20,39.89991923505319,-75.48265372994743
43,P9_21,40.37705968400415,-79.91617936306668
44,P9_22,43.31294312653404,-82.6649678073021
45,P9_23,43.31469300797122,-71.46282151601993
46,P9_24,44.01177529589257,-77.42190368121604
47,P9_25,48.71366259173246,-63.879554014834305
48,P9_26,50.17655278649658,-75.00184170235329
49,P9_27,51.042937520957025,-80.90778031154179
